ppname,ANS.p_correct,CANCELLATION_MARKED.bestR,CANCELLATION_MARKED.interdist,CANCELLATION_MARKED.intersect_rate,CANCELLATION_MARKED.intertime,CANCELLATION_UNMARKED.intertime,CATTELL_1.n_correct,CATTELL_2.n_correct,DEPRIVATION.IDACI_Rank,DEPRIVATION.Index_of_Multiple_Deprivation_Rank,DIGIT_SPAN.n_correct,DOT_MATRIX.n_correct,GONOGO.dprime,QUESTIONNAIRE_1.Q10_RT,QUESTIONNAIRE_1.Q10_resp,QUESTIONNAIRE_1.Q11_RT,QUESTIONNAIRE_1.Q11_resp,QUESTIONNAIRE_1.Q12_RT,QUESTIONNAIRE_1.Q12_resp,QUESTIONNAIRE_1.Q13_RT,QUESTIONNAIRE_1.Q13_resp,QUESTIONNAIRE_1.Q14_RT,QUESTIONNAIRE_1.Q14_resp,QUESTIONNAIRE_1.Q15_RT,QUESTIONNAIRE_1.Q15_resp,QUESTIONNAIRE_1.Q16_RT,QUESTIONNAIRE_1.Q16_resp,QUESTIONNAIRE_1.Q17_RT,QUESTIONNAIRE_1.Q17_resp,QUESTIONNAIRE_1.Q18_RT,QUESTIONNAIRE_1.Q18_resp,QUESTIONNAIRE_1.Q19_RT,QUESTIONNAIRE_1.Q19_resp,QUESTIONNAIRE_1.Q1_RT,QUESTIONNAIRE_1.Q1_resp,QUESTIONNAIRE_1.Q2_RT,QUESTIONNAIRE_1.Q2_resp,QUESTIONNAIRE_1.Q3_RT,QUESTIONNAIRE_1.Q3_resp,QUESTIONNAIRE_1.Q4_RT,QUESTIONNAIRE_1.Q4_resp,QUESTIONNAIRE_1.Q5_RT,QUESTIONNAIRE_1.Q5_resp,QUESTIONNAIRE_1.Q6_RT,QUESTIONNAIRE_1.Q6_resp,QUESTIONNAIRE_1.Q7_RT,QUESTIONNAIRE_1.Q7_resp,QUESTIONNAIRE_1.Q8_RT,QUESTIONNAIRE_1.Q8_resp,QUESTIONNAIRE_1.Q9_RT,QUESTIONNAIRE_1.Q9_resp,QUESTIONNAIRE_2.Q10_RT,QUESTIONNAIRE_2.Q10_resp,QUESTIONNAIRE_2.Q11_RT,QUESTIONNAIRE_2.Q11_resp,QUESTIONNAIRE_2.Q12_RT,QUESTIONNAIRE_2.Q12_resp,QUESTIONNAIRE_2.Q13_RT,QUESTIONNAIRE_2.Q13_resp,QUESTIONNAIRE_2.Q14_RT,QUESTIONNAIRE_2.Q14_resp,QUESTIONNAIRE_2.Q15_RT,QUESTIONNAIRE_2.Q15_resp,QUESTIONNAIRE_2.Q16_RT,QUESTIONNAIRE_2.Q16_resp,QUESTIONNAIRE_2.Q1_RT,QUESTIONNAIRE_2.Q1_resp,QUESTIONNAIRE_2.Q2_RT,QUESTIONNAIRE_2.Q2_resp,QUESTIONNAIRE_2.Q3_RT,QUESTIONNAIRE_2.Q3_resp,QUESTIONNAIRE_2.Q4_RT,QUESTIONNAIRE_2.Q4_resp,QUESTIONNAIRE_2.Q5_RT,QUESTIONNAIRE_2.Q5_resp,QUESTIONNAIRE_2.Q6_RT,QUESTIONNAIRE_2.Q6_resp,QUESTIONNAIRE_2.Q7_RT,QUESTIONNAIRE_2.Q7_resp,QUESTIONNAIRE_2.Q8_RT,QUESTIONNAIRE_2.Q8_resp,QUESTIONNAIRE_2.Q9_RT,QUESTIONNAIRE_2.Q9_resp,QUESTIONNAIRE_3.Q10_RT,QUESTIONNAIRE_3.Q10_resp,QUESTIONNAIRE_3.Q11_RT,QUESTIONNAIRE_3.Q11_resp,QUESTIONNAIRE_3.Q12_RT,QUESTIONNAIRE_3.Q12_resp,QUESTIONNAIRE_3.Q1_RT,QUESTIONNAIRE_3.Q1_resp,QUESTIONNAIRE_3.Q2_RT,QUESTIONNAIRE_3.Q2_resp,QUESTIONNAIRE_3.Q3_RT,QUESTIONNAIRE_3.Q3_resp,QUESTIONNAIRE_3.Q4_RT,QUESTIONNAIRE_3.Q4_resp,QUESTIONNAIRE_3.Q5_RT,QUESTIONNAIRE_3.Q5_resp,QUESTIONNAIRE_3.Q6_RT,QUESTIONNAIRE_3.Q6_resp,QUESTIONNAIRE_3.Q7_RT,QUESTIONNAIRE_3.Q7_resp,QUESTIONNAIRE_3.Q8_RT,QUESTIONNAIRE_3.Q8_resp,QUESTIONNAIRE_3.Q9_RT,QUESTIONNAIRE_3.Q9_resp,READING.n_correct,SUMS.n_correct
11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15843,23017,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-3.2574744805,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.2671,0.991206,3.9008,0.508794,5.0335,0.004396985,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
13,0.6379310345,0.7010628603,316.6894066875,0.125,0.35,0.465,2,8,13207,5991,9,0,1.908164694,9.3002,2,10.7345,2,7.5336,1,6.067,0.9949749,6.667,1,7.3004,0.2550251,6.6669,1,7.1003,0.4842965,6.9671,0.7192211,7.0003,0.5077471,19.9347,0.995603,13.3673,0,8.7004,0.9987437,7.4337,0.7569095,18.2341,2,9.934,0,7.6001,2,7,0,11.3668,1,7.9,1,6.901,1,7.167,0.9761307,6.033,0.9798995,6.3,0.3373116,4.067,0.4717337,9.201,1,13.501,1,8,0.9937186,17.167,1,7.601,0.8668342,7.267,0.03580402,6.734,0.326005,10.834,0.9943467,8.467,0.9673367,6.333,0.9949749,17.301,0.9635679,28.635,1,15.3,0,6.301,0,6.033,1,30.401,0.005025126,10.401,0,7.067,1.969849,18.601,0.9170854,16.335,0.7368091,14.433,0,15.901,0.5035595,67,33
14,0.6206896552,0.7694828256,297.8469002067,0.1012658228,0.6,0.5,10,7,15843,23017,11,6,NaN,11.2338,1,8.467,2,6.2337,1,9.7672,0.7468593,7.167,0.4953936,5.9333,0.7564908,4.0667,0.5,7.3672,0.2474874,6.2337,0.7512563,4.0002,0.4949749,16.568,0.6461474,16.2008,0.1042714,11.1994,0.7518844,7.5675,0.7462311,28.135,0,8.7336,0,11.901,0,7.3003,0,11.5337,2,5.601,0.321608,5.334,0.03517588,6.4,0.003140704,6.5,0.1319095,6.368,0.3322864,7.034,1,8.934,0.5336404,12.867,1,6.668,1,8.101,1,8.667,0.9880653,12.7,0.1612228,9.134,0.3498744,5.501,0.3341708,7.7,0.3090452,4.634,0.08605528,15.367,0.07788945,20.201,0,7.701,0,6.033,1,8.234,0.00942211,22.235,0.02728923,16.567,0,17.035,0.05485762,14.067,0,17.068,0.3429648,20.367,0.133794,17.301,0.1494975,36,34
15,0.775862069,0.9466698325,282.7916373223,0.05,0.5305,0.467,8,8,18607,26060,11,6,3.0605557208,9.934,2,8.5338,2,6.4337,1,11.8341,0.7495813,6.7336,0.7508376,6.8004,0.5,6.3661,0.9780151,5.5005,0.00879397,4.4667,0.9830402,4.1334,0.7535594,12.9343,0.9943467,11.734,0.7349246,11.4673,0.455402,7.9669,0.8513401,10.9675,4,8.9673,0,9.0675,0,8.434,0,19.2678,0,6.2,0.682789,6.901,0.767588,6.4,0.6438442,7.867,0.3354271,6.433,0.3318677,7.333,0.4874372,6.4,0.9616834,15.067,0.8385679,10.734,0.8165829,5.667,0.9974874,5.401,1,4.734,0,5.4,0.3190955,3.933,0.7016332,3.867,0.07453936,13.1,0.01067839,15.217,0.1520101,16.868,0,7.134,2,5.568,0.8498744,6.367,0.3379397,20.368,0.08396148,10.767,0.0339196,18.702,0.5299414,51.402,0.07726131,21.134,0.2920854,23.567,0,24.102,0.1677136,44,33
16,0.5948275862,0.85207473,412.5154193395,0.35,0.701,0.503,3,5,28347,30977,11,0,2.8896841603,10.5006,1,12.6673,2,8.6679,4,9.5674,0.7512563,6.5005,0.9874372,6.1999,0.5,7.4001,0.5025126,6.9006,0.5067002,8.9338,0.9943467,8.7338,0.5,10.9675,0.7531407,24.2014,0.5429229,16.767,1,9.3338,0.5,14.3341,2,10.9016,0,8.0672,0,12.5342,2,13.4009,0,9.567,1,8.867,0.3454774,6.134,0.3775126,6.434,0.1030151,4.5,0.1670854,4.533,1,16.568,0.9610553,15.101,0.9817839,23.867,0.334799,9.801,0.667923,7.867,0.3379397,11.467,0.3360553,4.9,0.3115578,6,0.6645728,6.7,0.3385679,4.999,0,32.402,1,21.601,0.3498744,7.967,2,5.434,0.3404523,10.501,0.4924623,16.601,0,10.101,0.1300251,14.567,0.4610553,13.934,0.7925042,19.701,0.2914573,15.734,1,23.601,0.02952261,47,60
17,0.775862069,0.7532371731,347.7000057985,0.2564102564,0.633,0.735,9,5,31742,32361,10,11,4.0617023051,15.4343,1,9.4336,2,8.2671,1,9.5672,0.7512563,10.1671,0.5,7.6003,0.2468593,8.7003,0.5,15.1676,0.5025126,7.7337,1,5.6005,0.5,12.3676,0.7487437,13.9004,0.5025126,14.7675,0.751675,17.6674,0.7468593,19.9673,3,15.0673,0,8.7673,0,6.6671,0,10.0339,2,6.967,0.9842965,6.001,0.6670854,4.601,0.6821608,8.2,0.007537689,7,0,6.767,0.6662479,7.768,0.3209799,21.568,0.9974874,6.934,1,8.4,0.6846734,7.467,1,9.168,0.2437186,14.268,0.2625628,12.8,0.1909548,6.935,0.3071608,7.801,0.3247488,11.867,0.2349246,16.134,0,9.534,2,51.67,0.9022195,6.267,0.459799,20.001,0.1728085,11.5,0,14.701,1,21.568,0.75,15.467,0.5,16.534,0,17.835,1,29,38
18,0.6896551724,0.670312098,266.4690091616,0.075,0.6,0.75,7,5,20238,27978,14,10,2.9713264201,11.7338,1,10.9674,2,8.1005,0,7.7005,0.5,7.6667,0.254397,5.6342,0.002512563,4.7003,0.9981156,5.2671,0.2485343,3.9002,0.9943467,3.7003,0.9861809,13.1678,0.7493719,8.9336,0.459799,13.334,0.9868091,10.9337,1,32.6018,1,12.9671,0,7.7003,0,6.2003,2,9.3003,3,4.534,1,4.667,0.01130653,3.7,0.3400335,5.433,0.05025126,3.533,0.3172111,4.2,1,5.201,0.00879397,6.367,0.8003909,6.267,1,6.967,0.6388191,5.067,1,9,0.9830402,5.8,0,4.768,0.1476131,4.601,0,5.834,0,11.166,0.5,24.668,0.1664573,6.6,0,4.168,1,7.5,0.01193467,19.835,0.1662479,14.568,0.05778895,8.6,2,27.634,0.09359296,14.633,0.3319375,14.768,0.5,15.968,0.1802764,50,42
19,0.6293103448,0.8178875777,347.5107931785,0.1282051282,0.467,0.5665,9,11,25360,24776,11,13,NaN,36.2352,3,4.4668,2,3.7334,3,13.134,0.4842965,9.0672,0.7437186,7.7005,0,6.9005,0.254397,NaN,NaN,NaN,NaN,NaN,NaN,14.8344,1,22.7013,0.2487437,11.6671,0.7437186,7.0672,0.7479061,28.4679,3,17.134,0,7.0334,0,5.4003,2,12.9673,2,5.767,0.4962312,6.367,0.3423367,10.334,0.3693467,26.401,0.02135678,12.301,0.01633166,7.033,0.9949749,7.267,0,13.267,0.9930905,7.134,1,6.533,0.7045645,6.801,1,7.334,0.3146985,4.967,0,4.734,0,9.467,0.1775544,6.534,0.3364741,31.835,0.4995812,28.201,0,9.234,2,13.701,0.6721106,14.434,0.2581658,24.6682,0.05276382,19.301,0.08354271,35.402,0.6017588,52.87,0.3373116,15.134,0.5615578,19.001,0.4886935,21.101,0.1672948,58,44
20,0.5086206897,0.8325731916,297.3969560738,0.1463414634,0.467,0.635,10,7,31742,32361,17,9,4.1573967785,14.3678,1,9.7339,2,8.5003,1,17.3339,0.01570352,6.4671,0,7.6339,0,5.4336,1,15.201,0.001884422,6.567,1,5.6005,0,12.9015,0.7361809,9.1008,0.5025126,10.1007,0,12.7672,0.9981156,14.2015,3,16.8677,2,9.3001,0,6.0336,0,14.568,2,4.633,0.1589196,8.634,1,9.5,1,7.134,0.9612647,3,0.3077889,4.567,0.9842965,7.034,0,4.467,0.9930905,6.9,0.6603853,6.767,0.326005,8.267,0.6639447,6.1,0.2148241,8.834,0.343593,19.768,0.3335427,7.967,0,5.033,0,17.901,0,22.834,0.165201,6.334,2,5,0.6727387,6.367,0.3293551,12.534,0.01570352,15.501,0.1661781,10.401,0.9271357,15.033,0.1675042,31.068,0.1702261,18.001,0.6291876,21.234,0,39,70
